,id,전기요금(원),측정일시,요일,시간,분,전기요금(원)_보간,보간대상,전기요금(원)_보간_가중
0,32064,726.195955808053,2024-12-01 00:15:00,6,0,15,510.178756754648,True,524.4796860341067
1,32065,726.1958507194763,2024-12-01 00:30:00,6,0,30,550.3491345226735,True,539.9670885869543
2,32066,726.1950647204762,2024-12-01 00:45:00,6,0,45,574.0712155013854,True,540.3629789563212
3,32067,659.0690735111805,2024-12-01 01:00:00,6,1,0,535.3529112768852,True,546.396154349663
4,32068,659.0686800963106,2024-12-01 01:15:00,6,1,15,579.6582239112633,True,557.699302743325
5,32069,659.0688535868051,2024-12-01 01:30:00,6,1,30,571.894302094228,True,548.0908275469891
6,32070,659.0692471711757,2024-12-01 01:45:00,6,1,45,544.3123233746569,True,540.7559074384524
7,32071,576.2726745884088,2024-12-01 02:00:00,6,2,0,612.8984728827334,True,552.1583173563419
8,32072,576.2722195572373,2024-12-01 02:15:00,6,2,15,572.5631792147133,True,575.9547959351811
9,32073,576.272210499194,2024-12-01 02:30:00,6,2,30,538.9063001090828,True,555.80935845105
10,32074,576.2722028791127,2024-12-01 02:45:00,6,2,45,614.2608638761942,True,540.12316192047
11,32075,571.4867071387605,2024-12-01 03:00:00,6,3,0,552.1703170489567,True,555.179965438346
12,32076,571.4865807322101,2024-12-01 03:15:00,6,3,15,565.8991813501468,True,578.9896394340935
13,32077,571.4866445780979,2024-12-01 03:30:00,6,3,30,615.6570662391216,True,563.3052132011682
14,32078,571.4867587340311,2024-12-01 03:45:00,6,3,45,577.4052991126264,True,611.090557257771
15,32079,571.8450478783407,2024-12-01 04:00:00,6,4,0,656.4547195232626,True,718.7921293262806
16,32080,571.8448094485857,2024-12-01 04:15:00,6,4,15,646.5141909087401,True,650.3613197741106
17,32081,571.8447263969638,2024-12-01 04:30:00,6,4,30,562.3480459081381,True,572.8247247063882
18,32082,571.8447297925659,2024-12-01 04:45:00,6,4,45,617.5456529086981,True,575.0120702006658
19,32083,568.7722916161736,2024-12-01 05:00:00,6,5,0,545.4875003065426,True,505.12173192048533
20,32084,568.7719278751035,2024-12-01 05:15:00,6,5,15,516.7940751107403,True,486.25767321185793
21,32085,568.7717022789736,2024-12-01 05:30:00,6,5,30,595.7663160441375,True,495.294093829867
22,32086,568.7716103928258,2024-12-01 05:45:00,6,5,45,528.79360030654,True,507.27198170500515
23,32087,568.7179212536415,2024-12-01 06:00:00,6,6,0,532.4363265053433,True,481.6824355542811
24,32088,568.7178639475009,2024-12-01 06:15:00,6,6,15,586.1774242644798,True,484.57560551959784
25,32089,568.717800805693,2024-12-01 06:30:00,6,6,30,514.014845605911,True,480.82810600532184
26,32090,568.7178181729963,2024-12-01 06:45:00,6,6,45,550.0028386034821,True,493.17172965870617
27,32091,567.8126198340284,2024-12-01 07:00:00,6,7,0,583.9636292795774,True,518.467187852106
28,32092,567.8124452613371,2024-12-01 07:15:00,6,7,15,589.6162471241851,True,601.713754348127
29,32093,567.8122754886823,2024-12-01 07:30:00,6,7,30,645.9143684259358,True,599.1756794847026
30,32094,567.8122626047658,2024-12-01 07:45:00,6,7,45,606.1547923394346,True,565.5990661210981
