id,측정일시,전력사용량(kWh),지상무효전력량(kVarh),진상무효전력량(kVarh),탄소배출량(tCO2),지상역률(%),진상역률(%),작업유형,전기요금(원),기온,습도
0,2024-01-01 00:15:00,3.17,2.95,0.0,0.0,73.21,100.0,Light_Load,515.4689031732386,3.75,80.5
1,2024-01-01 00:30:00,4.0,4.46,0.0,0.0,66.77,100.0,Light_Load,713.151879376245,3.6,81.0
2,2024-01-01 00:45:00,3.24,3.28,0.0,0.0,70.28,100.0,Light_Load,548.8155299895075,3.45,81.5
3,2024-01-01 01:00:00,3.31,3.56,0.0,0.0,68.09,100.0,Light_Load,578.6483585288105,3.3,82.0
4,2024-01-01 01:15:00,3.82,4.5,0.0,0.0,64.72,100.0,Light_Load,702.6509740817453,3.15,83.0
5,2024-01-01 01:30:00,3.28,3.56,0.0,0.0,67.76,100.0,Light_Load,576.2226174351438,3.0,84.0
6,2024-01-01 01:45:00,3.6,4.14,0.0,0.0,65.62,100.0,Light_Load,653.0793978117994,2.85,85.0
7,2024-01-01 02:00:00,3.6,4.28,0.0,0.0,64.37,100.0,Light_Load,665.744958235216,2.7,86.0
8,2024-01-01 02:15:00,3.28,3.64,0.0,0.0,66.94,100.0,Light_Load,583.261906024688,2.58,86.5
9,2024-01-01 02:30:00,3.78,4.72,0.0,0.0,62.51,100.0,Light_Load,719.8286030310682,2.45,87.0
10,2024-01-01 02:45:00,3.46,4.03,0.0,0.0,65.14,100.0,Light_Load,632.2755784377964,2.33,87.5
11,2024-01-01 03:00:00,3.24,3.64,0.0,0.0,66.49,100.0,Light_Load,580.085255085627,2.2,88.0
12,2024-01-01 03:15:00,3.96,4.97,0.0,0.0,62.32,100.0,Light_Load,756.4534752001143,1.93,88.5
13,2024-01-01 03:30:00,3.31,3.74,0.0,0.0,66.27,100.0,Light_Load,594.5194383209879,1.65,89.0
14,2024-01-01 03:45:00,3.31,3.85,0.0,0.0,65.19,100.0,Light_Load,604.3872380210377,1.38,89.5
15,2024-01-01 04:00:00,3.89,5.0,0.0,0.0,61.4,100.0,Light_Load,754.1045555910351,1.1,90.0
16,2024-01-01 04:15:00,3.28,3.82,0.0,0.0,65.14,100.0,Light_Load,599.3513060315755,0.85,90.75
17,2024-01-01 04:30:00,3.56,4.28,0.0,0.0,63.95,100.0,Light_Load,662.6900092806952,0.6,91.5
18,2024-01-01 04:45:00,3.74,4.54,0.0,0.0,63.58,100.0,Light_Load,700.1944275171323,0.35,92.25
19,2024-01-01 05:00:00,3.31,3.6,0.0,0.0,67.68,100.0,Light_Load,582.144504262686,0.1,93.0
20,2024-01-01 05:15:00,3.56,4.07,0.0,0.0,65.84,100.0,Light_Load,643.6698483806695,0.15,93.25
21,2024-01-01 05:30:00,3.56,4.1,0.0,0.0,65.56,100.0,Light_Load,646.3620903585842,0.2,93.5
22,2024-01-01 05:45:00,3.28,3.49,0.0,0.0,68.48,100.0,Light_Load,570.1224319540443,0.25,93.75
23,2024-01-01 06:00:00,3.78,4.32,0.0,0.0,65.85,100.0,Light_Load,683.311300518406,0.3,94.0
