일시,지점,지점명,기온(°C),습도(%)
2024-01-01 00:00:00,131.0,청주,3.9,80.0
2024-01-01 00:15:00,131.0,,3.75,80.5
2024-01-01 00:30:00,131.0,,3.6,81.0
2024-01-01 00:45:00,131.0,,3.45,81.5
2024-01-01 01:00:00,131.0,청주,3.3,82.0
2024-01-01 01:15:00,131.0,,3.15,83.0
2024-01-01 01:30:00,131.0,,3.0,84.0
2024-01-01 01:45:00,131.0,,2.85,85.0
2024-01-01 02:00:00,131.0,청주,2.7,86.0
2024-01-01 02:15:00,131.0,,2.58,86.5
2024-01-01 02:30:00,131.0,,2.45,87.0
2024-01-01 02:45:00,131.0,,2.33,87.5
2024-01-01 03:00:00,131.0,청주,2.2,88.0
2024-01-01 03:15:00,131.0,,1.93,88.5
2024-01-01 03:30:00,131.0,,1.65,89.0
2024-01-01 03:45:00,131.0,,1.38,89.5
2024-01-01 04:00:00,131.0,청주,1.1,90.0
2024-01-01 04:15:00,131.0,,0.85,90.75
2024-01-01 04:30:00,131.0,,0.6,91.5
2024-01-01 04:45:00,131.0,,0.35,92.25
2024-01-01 05:00:00,131.0,청주,0.1,93.0
2024-01-01 05:15:00,131.0,,0.15,93.25
2024-01-01 05:30:00,131.0,,0.2,93.5
2024-01-01 05:45:00,131.0,,0.25,93.75
2024-01-01 06:00:00,131.0,청주,0.3,94.0
2024-01-01 06:15:00,131.0,,0.15,94.0
2024-01-01 06:30:00,131.0,,0.0,94.0
2024-01-01 06:45:00,131.0,,-0.15,94.0
2024-01-01 07:00:00,131.0,청주,-0.3,94.0
2024-01-01 07:15:00,131.0,,-0.35,94.25
2024-01-01 07:30:00,131.0,,-0.4,94.5
2024-01-01 07:45:00,131.0,,-0.45,94.75
2024-01-01 08:00:00,131.0,청주,-0.5,95.0
2024-01-01 08:15:00,131.0,,-0.42,95.0
2024-01-01 08:30:00,131.0,,-0.35,95.0
2024-01-01 08:45:00,131.0,,-0.28,95.0
2024-01-01 09:00:00,131.0,청주,-0.2,95.0
2024-01-01 09:15:00,131.0,,-0.12,95.0
2024-01-01 09:30:00,131.0,,-0.05,95.0
2024-01-01 09:45:00,131.0,,0.03,95.0
2024-01-01 10:00:00,131.0,청주,0.1,95.0
2024-01-01 10:15:00,131.0,,0.22,94.75
2024-01-01 10:30:00,131.0,,0.35,94.5
2024-01-01 10:45:00,131.0,,0.48,94.25
2024-01-01 11:00:00,131.0,청주,0.6,94.0
2024-01-01 11:15:00,131.0,,0.9,93.0
2024-01-01 11:30:00,131.0,,1.2,92.0
2024-01-01 11:45:00,131.0,,1.5,91.0
2024-01-01 12:00:00,131.0,청주,1.8,90.0
2024-01-01 12:15:00,131.0,,2.3,86.75
2024-01-01 12:30:00,131.0,,2.8,83.5
2024-01-01 12:45:00,131.0,,3.3,80.25
2024-01-01 13:00:00,131.0,청주,3.8,77.0
2024-01-01 13:15:00,131.0,,4.2,76.5
2024-01-01 13:30:00,131.0,,4.6,76.0
2024-01-01 13:45:00,131.0,,5.0,75.5
2024-01-01 14:00:00,131.0,청주,5.4,75.0
2024-01-01 14:15:00,131.0,,5.8,73.0
2024-01-01 14:30:00,131.0,,6.2,71.0
2024-01-01 14:45:00,131.0,,6.6,69.0
2024-01-01 15:00:00,131.0,청주,7.0,67.0
2024-01-01 15:15:00,131.0,,7.0,66.75
2024-01-01 15:30:00,131.0,,7.0,66.5
2024-01-01 15:45:00,131.0,,7.0,66.25
2024-01-01 16:00:00,131.0,청주,7.0,66.0
2024-01-01 16:15:00,131.0,,6.95,65.25
2024-01-01 16:30:00,131.0,,6.9,64.5
2024-01-01 16:45:00,131.0,,6.85,63.75
2024-01-01 17:00:00,131.0,청주,6.8,63.0
2024-01-01 17:15:00,131.0,,6.8,63.0
2024-01-01 17:30:00,131.0,,6.8,63.0
2024-01-01 17:45:00,131.0,,6.8,63.0
2024-01-01 18:00:00,131.0,청주,6.8,63.0
2024-01-01 18:15:00,131.0,,6.72,63.0
2024-01-01 18:30:00,131.0,,6.65,63.0
2024-01-01 18:45:00,131.0,,6.58,63.0
2024-01-01 19:00:00,131.0,청주,6.5,63.0
2024-01-01 19:15:00,131.0,,6.38,64.5
2024-01-01 19:30:00,131.0,,6.25,66.0
2024-01-01 19:45:00,131.0,,6.12,67.5
2024-01-01 20:00:00,131.0,청주,6.0,69.0
2024-01-01 20:15:00,131.0,,5.88,70.0
2024-01-01 20:30:00,131.0,,5.75,71.0
2024-01-01 20:45:00,131.0,,5.62,72.0
2024-01-01 21:00:00,131.0,청주,5.5,73.0
2024-01-01 21:15:00,131.0,,5.42,73.5
2024-01-01 21:30:00,131.0,,5.35,74.0
2024-01-01 21:45:00,131.0,,5.28,74.5
2024-01-01 22:00:00,131.0,청주,5.2,75.0
2024-01-01 22:15:00,131.0,,5.25,74.5
2024-01-01 22:30:00,131.0,,5.3,74.0
2024-01-01 22:45:00,131.0,,5.35,73.5
2024-01-01 23:00:00,131.0,청주,5.4,73.0
2024-01-01 23:15:00,131.0,,5.3,73.5
2024-01-01 23:30:00,131.0,,5.2,74.0
2024-01-01 23:45:00,131.0,,5.1,74.5
2024-01-02 00:00:00,131.0,청주,5.0,75.0
2024-01-02 00:15:00,131.0,,4.97,75.0
2024-01-02 00:30:00,131.0,,4.95,75.0
2024-01-02 00:45:00,131.0,,4.93,75.0
2024-01-02 01:00:00,131.0,청주,4.9,75.0
2024-01-02 01:15:00,131.0,,4.85,75.25
2024-01-02 01:30:00,131.0,,4.8,75.5
2024-01-02 01:45:00,131.0,,4.75,75.75
2024-01-02 02:00:00,131.0,청주,4.7,76.0
2024-01-02 02:15:00,131.0,,4.68,75.5
2024-01-02 02:30:00,131.0,,4.65,75.0
2024-01-02 02:45:00,131.0,,4.62,74.5
2024-01-02 03:00:00,131.0,청주,4.6,74.0
2024-01-02 03:15:00,131.0,,4.57,74.25
2024-01-02 03:30:00,131.0,,4.55,74.5
2024-01-02 03:45:00,131.0,,4.53,74.75
2024-01-02 04:00:00,131.0,청주,4.5,75.0
2024-01-02 04:15:00,131.0,,4.47,74.75
2024-01-02 04:30:00,131.0,,4.45,74.5
2024-01-02 04:45:00,131.0,,4.43,74.25
2024-01-02 05:00:00,131.0,청주,4.4,74.0
2024-01-02 05:15:00,131.0,,4.32,74.5
2024-01-02 05:30:00,131.0,,4.25,75.0
2024-01-02 05:45:00,131.0,,4.18,75.5
2024-01-02 06:00:00,131.0,청주,4.1,76.0
2024-01-02 06:15:00,131.0,,4.12,76.0
2024-01-02 06:30:00,131.0,,4.15,76.0
2024-01-02 06:45:00,131.0,,4.18,76.0
2024-01-02 07:00:00,131.0,청주,4.2,76.0
2024-01-02 07:15:00,131.0,,4.22,76.0
2024-01-02 07:30:00,131.0,,4.25,76.0
2024-01-02 07:45:00,131.0,,4.28,76.0
2024-01-02 08:00:00,131.0,청주,4.3,76.0
2024-01-02 08:15:00,131.0,,4.35,75.75
2024-01-02 08:30:00,131.0,,4.4,75.5
2024-01-02 08:45:00,131.0,,4.45,75.25
2024-01-02 09:00:00,131.0,청주,4.5,75.0
2024-01-02 09:15:00,131.0,,4.5,75.5
2024-01-02 09:30:00,131.0,,4.5,76.0
2024-01-02 09:45:00,131.0,,4.5,76.5
2024-01-02 10:00:00,131.0,청주,4.5,77.0
2024-01-02 10:15:00,131.0,,4.55,77.25
2024-01-02 10:30:00,131.0,,4.6,77.5
2024-01-02 10:45:00,131.0,,4.65,77.75
2024-01-02 11:00:00,131.0,청주,4.7,78.0
2024-01-02 11:15:00,131.0,,4.95,75.25
2024-01-02 11:30:00,131.0,,5.2,72.5
2024-01-02 11:45:00,131.0,,5.45,69.75
2024-01-02 12:00:00,131.0,청주,5.7,67.0
2024-01-02 12:15:00,131.0,,5.68,68.0
2024-01-02 12:30:00,131.0,,5.65,69.0
2024-01-02 12:45:00,131.0,,5.62,70.0
2024-01-02 13:00:00,131.0,청주,5.6,71.0
2024-01-02 13:15:00,131.0,,5.68,70.25
2024-01-02 13:30:00,131.0,,5.75,69.5
2024-01-02 13:45:00,131.0,,5.82,68.75
2024-01-02 14:00:00,131.0,청주,5.9,68.0
2024-01-02 14:15:00,131.0,,5.9,67.5
2024-01-02 14:30:00,131.0,,5.9,67.0
2024-01-02 14:45:00,131.0,,5.9,66.5
2024-01-02 15:00:00,131.0,청주,5.9,66.0
2024-01-02 15:15:00,131.0,,5.8,66.0
2024-01-02 15:30:00,131.0,,5.7,66.0
2024-01-02 15:45:00,131.0,,5.6,66.0
2024-01-02 16:00:00,131.0,청주,5.5,66.0
2024-01-02 16:15:00,131.0,,5.38,66.0
2024-01-02 16:30:00,131.0,,5.25,66.0
2024-01-02 16:45:00,131.0,,5.12,66.0
2024-01-02 17:00:00,131.0,청주,5.0,66.0
2024-01-02 17:15:00,131.0,,4.85,66.25
2024-01-02 17:30:00,131.0,,4.7,66.5
2024-01-02 17:45:00,131.0,,4.55,66.75
2024-01-02 18:00:00,131.0,청주,4.4,67.0
2024-01-02 18:15:00,131.0,,4.38,67.0
2024-01-02 18:30:00,131.0,,4.35,67.0
2024-01-02 18:45:00,131.0,,4.32,67.0
2024-01-02 19:00:00,131.0,청주,4.3,67.0
2024-01-02 19:15:00,131.0,,4.15,66.5
2024-01-02 19:30:00,131.0,,4.0,66.0
2024-01-02 19:45:00,131.0,,3.85,65.5
2024-01-02 20:00:00,131.0,청주,3.7,65.0
2024-01-02 20:15:00,131.0,,3.65,65.5
2024-01-02 20:30:00,131.0,,3.6,66.0
2024-01-02 20:45:00,131.0,,3.55,66.5
2024-01-02 21:00:00,131.0,청주,3.5,67.0
2024-01-02 21:15:00,131.0,,3.42,67.25
2024-01-02 21:30:00,131.0,,3.35,67.5
2024-01-02 21:45:00,131.0,,3.28,67.75
2024-01-02 22:00:00,131.0,청주,3.2,68.0
2024-01-02 22:15:00,131.0,,3.12,68.5
2024-01-02 22:30:00,131.0,,3.05,69.0
2024-01-02 22:45:00,131.0,,2.98,69.5
2024-01-02 23:00:00,131.0,청주,2.9,70.0
2024-01-02 23:15:00,131.0,,2.8,69.75
2024-01-02 23:30:00,131.0,,2.7,69.5
2024-01-02 23:45:00,131.0,,2.6,69.25
2024-01-03 00:00:00,131.0,청주,2.5,69.0
2024-01-03 00:15:00,131.0,,2.48,69.75
2024-01-03 00:30:00,131.0,,2.45,70.5
